Question	Answer	Source
How does my health plan know if I’m an essential worker?	Your health plan can ask you questions about why you want a COVID-19 test and about the nature of your work. This helps them determine whether a COVID-19 test is medically necessary for you.\n\nBut they can’t ask you to provide further documentation or evidence of your work status. For example, they can’t ask you to provide written proof of where you work or the conditions of your workplace.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
I have a concern or complaint about getting care for COVID-19 under my health insurance. What can I do?	If you can’t access care, or were charged in error, follow up with your health plan. Call the member phone number listed on your health plan card. If they don’t fix the problem, call the [California Department of Managed Health Care (DMHC)](http://www.dmhc.ca.gov/?referral=healthhelp.ca.gov) Help Center at [1-888-466-2219](tel:888-466-2219).\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Do Medicare or Medicare Advantage Plans cover coronavirus tests or coronavirus antibody tests?	Yes. Both [Medicare](https://www.medicare.gov/medicare-coronavirus) and [Medicare Advantage Plans](https://www.medicare.gov/sign-up-change-plans/types-of-medicare-health-plans/medicare-advantage-plans) cover [diagnostic](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-tests) and [antibody tests](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-antibody-test), with no out-of-pocket costs.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Can I use telehealth if I am on Medicare?	Yes. Medicare has expanded its [telehealth services](https://www.medicare.gov/coverage/telehealth) to respond to the public health emergency. You can now use your smartphone, video chat, or online portal from home to talk with a range of providers, like doctors, nurse practitioners, clinical psychologists, licensed clinical social workers, physical therapists, occupational therapists, and speech language pathologists. If you have original Medicare, you can get many services for free through [telehealth](https://covid19.ca.gov/telehealth/). This includes common office visits, mental health counseling, and preventive health screenings.\n\nIf you have a [Medicare Advantage Plan](https://www.medicare.gov/sign-up-change-plans/types-of-medicare-health-plans/medicare-advantage-plans), you have access to these same benefits. Many plans offer more [telehealth](https://covid19.ca.gov/telehealth/) and other benefits, like meal delivery or medical transport. Check with your plan about coverage and costs.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
I am uninsured and diagnosed with COVID-19. What testing and treatment for me are paid for by the federal government?	The following services are covered:\n\n*   Specimen collection, diagnostic and antibody testing\n*   Testing-related visits, including in the following settings: \n    *   Office \n    *   Urgent care \n    *   Emergency room, or \n    *   Telehealth\n*   Treatment, including:\n    *   Office visit\n    *   [Telehealth](https://covid19.ca.gov/telehealth/#top)\n    *   Emergency room \n    *   Inpatient \n    *   Outpatient/observation \n    *   Skilled nursing facility \n    *   Long-term acute care (LTAC) \n    *   Acute inpatient rehab \n    *   Home health \n    *   Durable Medical Equipment (DME), like oxygen and ventilator\n    *   Emergency ambulance transportation \n    *   Non-emergent patient transfers via ambulance, and\n    *   FDA-approved drugs administered as part of an inpatient stay\n    *   FDA-approved vaccine, when available\n\nFor more details, see the [HRSA website](https://www.hrsa.gov/CovidUninsuredClaim) and their [frequently asked questions](https://www.hrsa.gov/coviduninsuredclaim/frequently-asked-questions).\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Does Medi-Cal provide free COVID-19 diagnosis, testing and treatments for the uninsured?	Yes. [Medi-Cal is available](https://www.dhcs.ca.gov/services/medi-cal/eligibility/Pages/COVID-19-Presumptive-Eligibility-Program.aspx#:~:text=Presumptive%20Eligibility%20(PE)%20for%20COVID,associated%20office%2C%20clinic%2C%20or%20emergency) to those with no insurance or whose insurance does not cover COVID-19 diagnosis, testing, and treatment. COVID-19 diagnosis, testing and treatment are considered emergency services. This allows all Medi-Cal beneficiaries, regardless of their scope of coverage under Medi-Cal or their immigration status, to receive at no cost all medically necessary testing, testing-related, and treatment services, which may include inpatient or outpatient services related to a COVID-19 diagnosis.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
My Medi-Cal eligibility is expiring. Do I need to renew it now?	**No.** [DHCS instructed counties](https://www.dhcs.ca.gov/services/medi-cal/eligibility/letters/Documents/I20-14.pdf) to freeze the Medi-Cal eligibility redeterminations for the duration of the COVID-19 public health emergency.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
I don’t have health insurance and/or a regular doctor. How can I get quick access to medical advice?	Call Medi-Nurse. Medi-Nurse is a [free, 24/7 nurse advice line](https://www.dhcs.ca.gov/Pages/DHCS-COVID%E2%80%9119-Medi-Nurse-Line.aspx) available at [1-877-409-9052](tel:877-409-9052). You can speak directly with a healthcare professional about your symptoms, get advice on testing and treatment in your area, or ask how to apply for health insurance.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
I am nervous or scared. What can I do?	You are not alone. The California Surgeon General released [two playbooks for managing stress](https://covid19.ca.gov/manage-stress-for-health/#top) and tips for care-givers and kids. If you feel like you need to talk to someone and want emotional support see this [list of resources](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/#top).\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
What if I need to visit a health care provider?	If you have [coronavirus symptoms](https://covid19.ca.gov/symptoms-and-risks/#top), please contact your doctor through [telehealth](https://covid19.ca.gov/telehealth/) or use the [Symptom Screener](https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fsymptoms-testing%2Findex.html).\n\nIf you have other illnesses or chronic conditions, use [telehealth](https://covid19.ca.gov/telehealth/) to get care from home.\n\nIf you need to go to the hospital, call ahead so they can prepare for your arrival. If you call [911](tel:911), tell the operator your symptoms so the ambulance provider can be ready to treat you safely.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
What about routine, elective, or non-urgent medical or dental appointments?	Non-emergency surgeries, like organ replacements and tumor removals, can take place. Your doctor will know if your hospital has enough capacity and protective equipment. Elective procedures should be cancelled or rescheduled. If possible, health care visits should be done remotely. [Dental services and preventive dental care](https://www.cdc.gov/coronavirus/2019-ncov/hcp/dental-settings.html) may be resumed. Contact your doctor through [telehealth](https://covid19.ca.gov/telehealth/) to see what services they are providing.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Can I get my prescriptions filled?	Yes. Pharmacies and medical cannabis dispensaries are open.\n\nCall your doctor to get a new prescription or adjust your existing prescriptions.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
I am an older Californian who is isolating at home and I need non-urgent help. What can I do?	Call the statewide hotline for older Californians at [1-833-544-2374](tel:833-544-2374). They can help you with non-urgent medical needs, meal delivery, tracking down prescriptions, and more. The most important thing you can do is stay home for your health and wellbeing.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
How can I make sure the older Californians in my life are safe and healthy during the stay home order?	Check in on your older neighbors and loved ones to make sure they are okay. Give them a call, text, or physically-distanced door knock. You can also teach them how to use FaceTime, Zoom, Google Duo, or Facebook video to communicate. It’s important to keep in touch with older loved ones for their mental health and safety.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Can I care for my elderly parents or friends who need help? Or a friend or family member who has disabilities?	Yes. Protect them and yourself by following physical distancing guidelines. Wear a [mask](https://covid19.ca.gov/masks-and-ppe/#top), wash your hands often, maintain at least six feet of distance between you, and cover your cough or sneeze. If you have early signs of a cold, please stay away from your older loved ones.\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Can I visit loved ones in the hospital, nursing home, or residential care facility?	Generally, no. There are exceptions, such as if you are taking a minor or someone who is developmentally disabled to the hospital. For most other situations, the order prohibits visitation to these kinds of facilities. This is difficult, but necessary to protect hospital staff and other patients. See more about this in [frequently asked questions for friends and family with a loved one in a skilled nursing or residential care facility](https://www.aging.ca.gov/download.ashx?lE0rcNUV0zaaXLD5JZ%2f6Uw%3d%3d).\n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
Can I get free COVID-19 testing or treatment if I am a senior over 65, disabled, uninsured, or an undocumented immigrant?	[Medicare](https://www.medicare.gov/medicare-coronavirus) and [Medicare Advantage Plans](https://www.medicare.gov/sign-up-change-plans/types-of-medicare-health-plans/medicare-advantage-plans) provide free COVID-19 [diagnostic](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-tests) and [antibody tests](https://www.medicare.gov/coverage/coronavirus-disease-2019-covid-19-antibody-test). Needed COVID-19 diagnosis, testing, and treatment for the uninsured is [paid for by the government](https://www.hrsa.gov/CovidUninsuredClaim). \n\nMore info: [Health care](https://covid19.ca.gov/healthcare/)	https://covid19.ca.gov/healthcare/
What are the pay and benefits for California Health Corps professionals?	Salary rates for most of the health care professionals being hired for this emergency are listed in the [CalHR Pay Scales](https://www.calhr.ca.gov/Pay%20Scales%20Library/PS_Sec_05.pdf) (pages 5.12 and 5.13). In addition, CalHR has established pay rates for medical roles that don’t have a corresponding regular classification and pay schedule, such as paramedics and EMTs. CalHR will determine specific salary and benefits after conducting a review of each application.\n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
Some healthcare professions are not listed. Are health professionals who are not listed (e.g., Medical Technicians, Lab Technicians, etc.) eligible for the California Health Corps?	California Health Corps are currently only accepting applications for the healthcare professions listed on the website. However, we are constantly re-evaluating our needs during this fluid situation and will open the registration for other professionals, if the need arises.\n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
When can I expect to hear a response after completing my California Health Corps registration?	Currently we anticipate the process may take up to two weeks, since an incredible number of responses are received and need to prioritize certain parts of the state, where the needs are the greatest. We will begin to contact the volunteers after verification of credentials, and based on current and anticipated needs.\n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
How do I return to the California Health Corps application after logging out?	Visit [https://healthcarevolunteers.ca.gov/](https://healthcarevolunteers.ca.gov/) and use the account you created while applying to correct or update any information you want.\n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
Resources for the California Health Corps participants	*   Health Corps FAQ: [FAQ-Health-Corps (PDF)](https://files.covid19.ca.gov/pdf/FAQ-Health-Corps.pdf)\n*   Travel Reimbursement FAQ: [FAQ-Travel-Reimbursement (PDF)](https://files.covid19.ca.gov/pdf/FAQ-Travel-Reimbursement.pdf)\n*   SNF Orientation: [SNF-Nursing-Staff-Orientation (PDF)](https://files.covid19.ca.gov/pdf/SNF-Nursing-Staff-Orientation.pdf)\n*   How to file a complaint: [How-to-file-a-complaint (PDF)](https://files.covid19.ca.gov/pdf/How-to-file-a-complaint.pdf)\n*   Direct deposit: [std699-Direct-Deposit (PDF)](https://files.covid19.ca.gov/pdf/std699-Direct-Deposit.pdf)\n*   Travel expense claim: [Std262-Travel-Expense-Claim (PDF)](https://files.covid19.ca.gov/pdf/Std262-Travel-Expense-Claim.pdf)\n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
Can a doctor with out of state license or foreign medical graduate without California license work for the California Health Corps?	To be eligible for COVID-19 emergency medical staffing roles, you must:\n\n*   Have a valid California License for clinical practice (if you are a MD, DO, etc.) \n*   **OR** are a medical resident or nursing student \n\nMore info: [California Health Corps](https://covid19.ca.gov/healthcorps/)	https://covid19.ca.gov/healthcorps/
Can routine travel for healthcare staff be covered under the “Hotel rooms for healthcare workers” program?	No. Lodging for traveling healthcare providers should be accounted for in their contract through a stipend or in their hourly rate. The “Hotels rooms for healthcare workers” program shouldn’t be used to pay for those costs. \n\nTraveling healthcare workers can access discounts provided by the program, but need to pay for the room on their own.\n\nMore info: [Hotel rooms for California healthcare workers](https://covid19.ca.gov/hotel-rooms-for-california-healthcare-workers/)	https://covid19.ca.gov/hotel-rooms-for-california-healthcare-workers/
I am homeless and I may have come in contact with coronavirus. How can I self-isolate with nowhere to go and services closing down?	A motel or hotel room may be available for you and your family. Contact your local homeless [continuum of care](https://www.bcsh.ca.gov/hcfc/documents/coc_poc.pdf) to connect you to this service.\n\nMore info: [Housing and homelessness](https://covid19.ca.gov/housing-and-homelessness/)	https://covid19.ca.gov/housing-and-homelessness/
Will there be a rent freeze or waiver for renters? Are evictions allowed during the stay at home order?	The [Tenant, Homeowner and Small Landlord Relief and Stabilization Act](https://www.gov.ca.gov/wp-content/uploads/2020/08/Factsheet-Tenant-Homeowner-and-Small-Landlord-Relief-and-Stabilization-Act-of-2020.pdf) and an executive [order](https://www.gov.ca.gov/2020/06/30/governor-newsom-signs-executive-order-on-actions-in-response-to-covid-19-6-30-20/) have halted evictions and protected renters. If you are financially affected by  coronavirus and [can’t pay your full rent](https://bcsh.ca.gov/coronavirus19/graphic_rent.pdf), let your landlord know in writing within seven days of the rent due date. Save documentation as proof. The order does not relieve you from paying rent. It also does not restrict your landlord from collecting rent later.\n\nMore info: [Housing and homelessness](https://covid19.ca.gov/housing-and-homelessness/)	https://covid19.ca.gov/housing-and-homelessness/
How do I get mortgage relief and/or forbearance?	Contact and work directly with your mortgage servicer to learn about and apply for available relief. Some financial institutions and their servicers are experiencing a high volume of inquiries.\n\nMore info: [Housing and homelessness](https://covid19.ca.gov/housing-and-homelessness/)	https://covid19.ca.gov/housing-and-homelessness/
How long will the mortgage forbearance last?	You’ll agree on the terms of a forbearance with your mortgage service. Financial institutions will confirm approval of and terms of the forbearance program.\n\nMore info: [Housing and homelessness](https://covid19.ca.gov/housing-and-homelessness/)	https://covid19.ca.gov/housing-and-homelessness/
Participate in Housing for the Harvest by contacting the administrator for your county:	*   **Fresno County**  \n    Fresno Economic Opportunities Commission  \n    (559) 710-2000  \n    [thehealthyharvest.org](http://thehealthyharvest.org) or [cosechasana.org](http://cosechasana.org)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HFlyerFresnoEnglish9-14-2020.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HFlyerFresnoSpanish9-14-2020.pdf)\n*   **Kern County**  \n    Community Action Partnership of Kern (CAPK)  \n    Call 211\n*   **Kings County**  \n    Kings Community Action Organization  \n    (559) 710-2000  \n    [thehealthyharvest.org](http://thehealthyharvest.org/) or [cosechasana.org](http://cosechasana.org/)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HKingsCountyEnglish9-14-2020.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HKingsCountySpanish9-14-2020.pdf)\n*   **Madera County**  \n    Central Valley Opportunity Center (CVOC)  \n    (559) 710-2000  \n    [thehealthyharvest.org](http://thehealthyharvest.org) or [cosechasana.org](http://cosechasana.org)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HMaderaCountyEnglish9-22-2020.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HMaderaCountySpanish9-22-2020.pdf)\n*   **Riverside County**  \n    TODEC Legal Center  \n    (888) 863-3291  \n    [campo@todec.org](mailto:campo@todec.org)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HRiversideCountyEnglish9-11-2020.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HRiversideCountySpanish9-15-2020.pdf)\n*   **Santa Barbara County**  \n    Family Service Agency  \n    (805) 325-5341  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HFlyerSantaBarbara.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HFlyerSantaBarbaraSP.pdf)\n*   **San Joaquin County**  \n    Catholic Charities / Community Foundation of San Joaquin  \n    (209) 469-1120  \n    [harvest@ccstockton.org](mailto:harvest@ccstockton.org)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HFlyerSanJoaquin-EN.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HFlyerSanJoaquin-ES.pdf)\n*   **Tulare County**  \n    Proteus, Inc.  \n    (559) 710-2000  \n    [thehealthyharvest.org](http://thehealthyharvest.org/) or [cosechasana.org](http://cosechasana.org/)  \n    Info flyer: [English](https://files.covid19.ca.gov/pdf/H4HTulareCountyEnglish9-14-2020.pdf), [Español](https://files.covid19.ca.gov/pdf/H4HTulareCountySpanish9-14-2020.pdf)  \n      \n    More counties will be added to the program soon.\n\nMore info: [Housing for agricultural workers](https://covid19.ca.gov/housing-for-agricultural-workers/)	https://covid19.ca.gov/housing-for-agricultural-workers/
Agriculture and livestock	Follow this [guidance for the agriculture and livestock industry](https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf) to create a safer environment for workers.  \n  \nReview the guidance, prepare a plan, and post the [checklist for the agriculture and livestock industry](https://files.covid19.ca.gov/pdf/checklist-agriculture--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Auto dealerships	Follow this [guidance for the automobile dealerships and rental operators industry](https://files.covid19.ca.gov/pdf/guidance-auto-dealerships--en.pdf) to create a safer environment for workers.\n\nReview the guidance, prepare a plan, and post the [checklist for the automobile dealerships and rental operators](https://files.covid19.ca.gov/pdf/checklist-auto-dealerships--en.pdf) industry in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Cardrooms and racetracks – updated September 10	**Tier status:**\n\nWidespread (purple): \n\n*   Outdoor only with modifications\n*   Racetracks may resume training and competition without live audiences, subject to approval by county public health officers\n\nSubstantial (red): \n\n*   Outdoor only with modifications\n*   Racetracks may resume training and competition without live audiences, subject to approval by county public health officers\n\nModerate (orange)\n\n*   Indoor with modifications\n*   Capacity must be limited to 25%\n*   Racetracks may resume training and competition without live audiences, subject to approval by county public health officers\n\nMinimal (yellow)\n\n*   Indoor with modifications\n*   Capacity must be limited to 50%\n*   Racetracks may resume training and competition without live audiences, subject to approval by county public health officers\n\nOutdoor operations of cardrooms and satellite wagering facilities\n\n*   Follow this [guidance for outdoor operations of cardrooms](https://files.covid19.ca.gov/pdf/guidance-outdoor-cardrooms--en.pdf) and satellite wagering facilities to support a safer environment for workers and patrons.\n*   Review the guidance, prepare a plan, and post the [checklist for outdoor cardrooms](https://files.covid19.ca.gov/pdf/checklist-outdoor-cardrooms--en.pdf) and satellite wagering in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nCardrooms, satellite wagering facilities, and racetracks with onsite wagering\n\n*   Follow this [guidance for cardrooms](https://files.covid19.ca.gov/pdf/guidance-cardrooms-racetracks--en.pdf), racetracks, and satellite wagering to support a safer environment for workers and patrons.\n*   Review the guidance, prepare a plan, and post the [checklist for cardrooms](https://files.covid19.ca.gov/pdf/checklist-cardrooms-racetracks--en.pdf), racetracks, and satellite wagering in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Childcare	Follow the [guidance for the childcare industry](https://files.covid19.ca.gov/pdf/guidance-childcare--en.pdf) to minimize the spread of COVID-19. Review the guidance, prepare a plan, and post the [checklist for childcare](https://files.covid19.ca.gov/pdf/checklist-childcare--en.pdf) in your facility to show employees and families that you’ve reduced the risk and are open for operation.\n\n*   Follow the [guidance related to cohorts](https://covid19.ca.gov/industry-guidance/#cohort-guidance) of children and youth.\n*   See the answers to [frequently asked questions about cohorts and waivers](https://www.cdss.ca.gov/Portals/9/CCLD/PINs/2020/CCP/PIN-20-22-CCP.pdf) for childcare providers.\n*   Follow the [case and contact management guidance](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/contact-management-childcare-facilities.aspx) related to cohorts for childcare facilities.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Cohorts for children and youth in supervised settings – updated September 4	A **cohort** is a stable group of no more than 14 children or youth and no more than two supervising adults in a supervised environment. The group stays together for all activities, including meals and recreation. And this group avoids contact with anyone not in their group.\n\nKids and adults in supervised care environments must be in groups as small as possible. Kids and supervising adults in one group must not physically interact with:\n\n*   kids and supervising adults in other groups\n*   other facility staff\n*   parents of kids in other groups\n\nPracticing a cohort structure:\n\n*   decreases opportunities for exposure to or transmission of the virus\n*   facilitates more efficient contact tracing in the event of a positive case\n*   allows for targeted testing, quarantine, and isolation of a single group instead of an entire population of kids and supervising adults\n\nThe [guidance related to cohorts](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/small-groups-child-youth.aspx) of children and youth sets minimum guidelines for providing specialized, targeted support services, necessary in-person child supervision and limited instruction, and facilitation of distance learning in small group environments in ways that maintain the focus on health and safety to minimize transmission. This guidance enables schools to provide specialized services for students with disabilities and English learners, and in-person support for at-risk and high-need students. \n\n*   See the answers to [frequently asked questions](https://files.covid19.ca.gov/pdf/guidance-schools-cohort-FAQ--en.pdf) about cohort guidance in K-12 school settings.\n*   See the answers to [frequently asked questions about cohorts and waivers](https://www.cdss.ca.gov/Portals/9/CCLD/PINs/2020/CCP/PIN-20-22-CCP.pdf) for childcare providers.\n*   Follow the [case and contact management guidance](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/contact-management-childcare-facilities.aspx) related to cohorts for childcare facilities. \n\nLocal educational agencies, nonprofits, or other authorized providers must follow the guidance for cohorts of children and youth in controlled, supervised and indoor environments. These environments include, but are not limited to, the following:\n\n*   public and private schools\n*   licensed and license-exempt childcare settings \n*   organized and supervised care environments, like “distance learning hubs”\n*   recreation programs\n*   before and after school programs\n*   youth groups\n*   day camps\n\nGuidance and directives related to [schools](https://covid19.ca.gov/industry-guidance/#schools-guidance), [childcare](https://covid19.ca.gov/industry-guidance/#childcare-guidance), [day camps](https://covid19.ca.gov/industry-guidance/#daycamps-guidance), and [youth sports](https://covid19.ca.gov/industry-guidance/#youthsports-guidance) are not superseded by this guidance for cohorts of children and youth and still apply to those specified settings.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Communications infrastructure	Follow this [guidance for the communications infrastructure industry](https://files.covid19.ca.gov/pdf/guidance-communications--en.pdf) to create a safer environment for workers.  \n  \nReview the guidance, prepare a plan, and post the [checklist for the communications infrastructure industry](https://files.covid19.ca.gov/pdf/checklist-communications--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Construction	Follow this [guidance for the construction industry](https://files.covid19.ca.gov/pdf/guidance-construction--en.pdf) to create a safer environment for workers.  \n  \nReview the guidance, prepare a plan, and post the [checklist for the construction industry](https://files.covid19.ca.gov/pdf/checklist-construction--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Day camps	Follow this [guidance for day camps](https://files.covid19.ca.gov/pdf/guidance-day-camps--en.pdf) to minimize the spread of COVID-19. Review the guidance, prepare a plan, and post the [checklist for day camps](https://files.covid19.ca.gov/pdf/checklist-daycamps--en.pdf) in your facility to show employees, campers, and families that you’ve reduced the risk and are open for operation. Follow the [guidance related to cohorts](https://covid19.ca.gov/industry-guidance/#cohort-guidance) of children and youth.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Delivery services	Follow this [guidance for the delivery services industry](https://files.covid19.ca.gov/pdf/guidance-delivery-services--en.pdf) to create a safer environment for workers.  \n  \nReview the guidance, prepare a plan, and post the [checklist for the delivery services industry](https://files.covid19.ca.gov/pdf/checklist-delivery-services--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Energy and utilities	Follow this [guidance for the energy and utilities industry](https://files.covid19.ca.gov/pdf/guidance-energy--en.pdf) to create a safer environment for workers.  \n  \nReview the guidance, prepare a plan, and post the [checklist for the energy and utilities industry](https://files.covid19.ca.gov/pdf/checklist-energy--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Family friendly practices for employers	Follow this [guidance for family friendly practices for employers](https://files.covid19.ca.gov/pdf/guidance-family-friendly-practices-employers--en.pdf) to keep employees safe and be responsive to their needs in order to ensure continued productivity. As workplaces reopen, employees will require both child care supports and workplace flexibility. Work-life balance policies will become even more important and continued investment in family-friendly workplace policies by employers is critical.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Food packing	Follow this [guidance for facilities that process or pack meat, dairy, or produce](https://files.covid19.ca.gov/pdf/guidance-food-packing--en.pdf) to create a safer environment for workers.\n\nReview the guidance, prepare a plan, and post the [checklist for facilities that process or pack meat, dairy or produce](https://files.covid19.ca.gov/pdf/checklist-food-packing--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Gyms and fitness centers	**Tier status:**\n\nWidespread (purple):\n\n*   Outdoor only with modifications\n*   Saunas and steam rooms must close\n\nSubstantial (red): \n\n*   Indoor with modifications\n*   Capacity must be limited to 10%\n\nModerate (orange)\n\n*   Indoor with modifications\n*   Capacity must be limited to 25%\n*   Indoor pools can open\n\nMinimal (yellow)\n\n*   Indoor with modifications\n*   Capacity must be limited to 50%\n*   Indoor pools can open\n*   Saunas, spas, and steam rooms can open\n\nFollow this [guidance for gyms and fitness centers](https://files.covid19.ca.gov/pdf/guidance-fitness--en.pdf), including yoga and dance studios, to create a safer environment for workers and patrons.\n\nReview the guidance, prepare a plan, and post the [checklist for gyms and fitness centers](https://files.covid19.ca.gov/pdf/checklist-fitness--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Hair salons and barbershops	Follow this [guidance for hair salons and barbershops](https://files.covid19.ca.gov/pdf/guidance-hair-salons--en.pdf) to create a safer environment for workers and customers. Review the guidance, prepare a plan, and post the [checklist for hair salons](https://files.covid19.ca.gov/pdf/checklist-hair-salons--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
